Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ethiopia,ETH,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,20100,20600,21400,21600,19800,16300,18600,12300,9700,8300,8100,12000,13700,14800,16000,21600,23700,24400,22900,23600,20600,20000,25000,24200,25600,26200,24800,28100,27100,24900,26624,28128,28359,27204,29546,30961,33644,37528,39804,44154,48783,57728,62136,68131,71166,83940,94330,99263,110971,119542,72194,99415,
European Union,EUU,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,1211800,1299100,1383300,1379200,1415900,1383300,1444900,1442900,1479600,1515100,1503800,1453500,1486600,1506400,1545500,1593800,1663600,1796000,1963100,2095700,2235100,2235100,2473800,2611700,2733400,2858600,3106900,3461900,3625800,3885000,4149031,4140156,3991441,4139732,4413329,4431467,4657953,4917391,4959760,4827314,5260808.805,5429662.688,5278710.453,5145234.909,5170163.198,5291624,5468736,5481436,5608067.939,5900296.733,2301206.386,2915300.394,
Fragile and conflict affected situations,FCS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,219700,220700,229300,244200,226300,261900,278300,284800,292700,349600,359200,348300,342100,357400,384600,359200,358400,353500,370900,376400,332000,314600,367000,310700,321400,278300,287700,290100,279900,335600,355440,443315,379555,318947,348003,374649,404454,393056,407263,402899,488403.8522,543909.4012,519697.5005,556736.09,533306.4526,523455,528016,531374.38,539202.4445,540882.122,279571.378,367615.98,
Finland,FIN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,44900,48400,51500,55100,60700,64300,62600,56400,60000,61100,70800,74100,72200,68900,68800,70300,66400,77300,84000,89800,93400,92000,93600,90300,91000,97000,103200,113300,119000,120700,145174,128881,108923,107026,109209,107108,114699,118686,114371,104740,132408.2842,144467,138914.1327,138987,140256,153849,162119,118856,125804,131089,47394,42598,
Fiji,FJI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,15500,17600,17800,17600,12800,13200,15200,21200,19200,15500,15500,15700,15800,14200,13100,23700,23600,23500,23200,27200,27000,31000,32600,33600,86900,87900,57300,57776,62768,37685,38732,36920,41886,46866,46359,46467,45595,26127,18142,16011.28581,11748,19140,19487,20906,21855,24134,25859,10450,5791,
France,FRA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,215400,211600,232500,230600,239100,246300,255700,256300,258000,262400,248400,254400,268600,241000,259900,261200,274400,314400,368200,393200,441700,408000,413700,459800,479000,482000,549900,667500,691800,748600,811776,777756,734679,695865,682263,728081,805731,825471,827851,771675,738003.4264,754292,739353.5998,641440,610197,607168,599427,599256,597412,598374,268744,332174,
Faroe Islands,FRO,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia Fed. Sts.,FSM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,11200,11200,11000,11300,11200,11300,12700,12100,11600,11800,12000,12200,12600,13100,12600,12300,12300,12500,11000,10700,10400,11300,10800,10900,12000,12000,7100,10000,10100,7300,7445,7492,7474,7990,8342,8505,8524,9057,5654,5423,7516.159851,3002,1553,0,,2765,2305,,,,,,
United Kingdom,GBR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,441800,432200,435200,446300,429400,397100,409300,413300,462600,476900,477500,434000,433200,435600,457900,471700,498900,522900,573300,639100,670700,615500,654600,659400,684900,724800,772300,788900,801900,840800,876158,925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,985109.0231,1062692,1050702.909,1052640,1064175.7,1104117,1180312,1182696,1242985,1061464,303493,289731,
Georgia,GEO,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1400,2500,1600,1600,3000,1906,1945,4239,5514,4451,4673,4861,5347,5487,5054,2803,3896,3326,2933,3317,3959,3199,5061,7108,6587,774,1000,
Ghana,GHA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,5000,5400,5700,5600,5700,5900,6100,6000,7000,7000,5600,5100,5300,4500,4400,5800,5500,7500,12300,11800,12600,19000,15100,3200,3400,3000,3300,3500,3500,5000,4873,5892,4382,3333,3333,,,,,,5645.669567,10683,14902,16560,16764,20539,21628,21224,11635,15617,8941,13321,
Gibraltar,GIB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,2000,2000,2100,2200,2200,2300,2300,2300,2300,2300,2300,3500,3500,3500,3600,3600,500,900,900,900,1100,1100,700,700,1400,700,700,700,700,600,,,,,,,,,,,,,,,,,,,,,,,
Gambia The,GMB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,140,1788,1848,35,440,625,1116,1136,,
Guinea-Bissau,GNB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,300,300,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1400,400,400,400,400,400,400,400,400,600,600,,,,,,,,,,,,717.1709234,2808,8201,19416,14136,22350,22464,20590,7930,7423,3051,1238,
Greece,GRC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,34100,39800,44500,48500,38000,42600,50600,49400,55600,57300,50300,49700,53900,58800,71600,77000,75800,78600,79200,80100,79600,69800,79200,86200,86600,89200,92400,94200,90700,94100,108584,125269,113247,114100,137676,130515,133226,137697,128287,112671,136382.2579,125477.1198,111870,103800,134160,124014,128454,135281,144040,151848,75393,108338,
Grenada,GRD,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,10500,8200,8300,1800,3200,3700,4500,5000,4400,4300,3200,3100,3100,2000,2000,2200,1800,2100,2100,2300,3400,3400,4500,4600,4600,5100,5100,6400,6500,,,,,,,,,,,,8875,9148,8091,2556,2214,3012,3102,3577,3205,2623,673.09,48,
Guam,GUM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12139,11470,,,,,,,,,,,,,
Guyana,GUY,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,4000,4200,4200,4300,4400,4500,5000,5200,5200,5200,5200,6400,7100,7000,6700,6700,4500,4500,4300,3800,3800,3300,3300,3300,3300,3500,3600,3600,3600,500,418,276,,,,,,,,,9351,12231,8625,0,0,,,,1931,1578,1502,624,
High income,HIC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,8017000,8160100,8143100,8268100,7702500,7568600,7782500,8152700,8365500,8683500,8648700,8192500,8160100,8428300,8933400,9433400,10173400,10645400,11216200,11341600,11846100,11639200,12032000,12136400,13267100,14013000,14832000,15298900,15427200,16379700,17684379,17477641,16164673,16719866,18533738,18689222,18807308,19388111,18771667,19004583,21292573.98,21557922.58,21261102.96,21271056.97,21276553.91,21637313,22229772,22383177.92,22649390.21,23039182.59,11555276.7,14403847.14,
Hong Kong SAR - China,HKG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124500,147100,167200,181500,193700,195200,224800,234700,72400,79182,85003,91096,87070,111136,122705,130014,141372,144039,149809,158255,173112,185506.3782,199639,215562,228582,235581,243518,245146,242173,70874,55653
Honduras,HND,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,21300,20600,17800,18000,17800,15900,14600,13900,15500,17200,19500,13200,13600,12100,11300,11800,8100,11300,14700,15100,17100,12500,11800,13700,,,,,,,,,,,,,,,,,21574,18287,16760,26796,24216,24813,24315,9482,14832,13146,,14225,
Heavily indebted poor countries (HIPC),HPC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,187100,186500,178200,180600,174400,200500,210200,188500,198400,206900,209300,207700,200600,198200,198600,192800,176500,178500,183300,180200,178500,174100,163700,149400,143800,137800,154100,159000,152500,145800,143612,137114,,,,,,,,,266822.2892,307977.7171,311610.2906,329263.772,346254.1529,345543,341547,383488,410069,417461.09,215962.9134,325159.145,
Croatia,HRV,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,4100,9200,12000,13300,15000,16700,16800,15900,16955,18258,19340,19751,20482,22031,21641,22391,24728,24613,24766,26743,26456,24305,25161,25183,26171,26809,27189,27711,12838,15982,
Haiti,HTI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,3200,3200,3200,3400,700,700,700,700,700,700,700,800,800,800,800,800,800,800,800,800,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,1563,
Hungary,HUN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,6200,3200,3000,3800,4500,4000,4300,11800,13700,15500,15600,16100,16600,15700,17000,17200,17100,17300,16200,17500,18900,16600,19800,23100,20900,21600,24900,25700,27500,30200,32297,31654,33290,40233,46837,47362,45781,51003,49795,45861,111307,120826.2124,88801.83165,103080,123708,145492,137605,158454,183541,213664,106938,130120,
IBRD only,IBD,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,1335600,1408500,1490100,1506400,1530500,1668300,1722600,1750100,1883400,2036700,2154600,2159900,2222000,2304800,2351400,2371000,2425700,2430100,2610800,3656700,3730300,3833800,3949100,4027400,4004600,4162400,4148562,4645137,4556340,4486328,5073328,5390223,5877784,6474185,6627091,7007442,8606063.387,9265694.666,9794674.562,10496591.69,11317875.65,11937275,12649088,13378206.14,14197179.08,14540298.92,8219693.701,9295962.176,
IDA & IBRD total,IBT,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,1633000,1758800,1870400,1860200,1901500,2057600,2146700,2175500,2292700,2453300,2613400,2625500,2679900,2770000,2838600,2855700,2909000,2899700,3071500,4074900,4200900,4267900,4394400,4539500,4528100,4649100,4634347,5121901,4965837,4891195,5519366,5846449,6352567,6990994,7102413,7497275,9337292.293,10080702.73,10601539.96,11372493.91,12224523.26,12861795,13594565,14403021.14,15276297.01,15584884.01,8751517.865,9946993.382,
IDA total,IDA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,298600,294600,277400,313100,297400,350300,380300,353800,371000,389300,424100,425400,409300,416600,458800,465600,457900,465200,487200,484700,483300,469600,460700,418200,470600,434100,445300,512100,523500,486700,485785,476764,409497,404867,446038,456226,474783,516809,475322,489833,731228.9065,815008.0596,806865.3973,875902.2152,906647.604,924520,945477,1024815,1079117.929,1044585.09,531824.1644,651031.206,
IDA blend,IDB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,82100,73100,63500,85600,73100,107500,118700,120700,131100,140300,159200,153000,140200,147500,186300,198600,195700,199800,212400,216600,210600,203900,204900,174600,223700,192200,188500,276000,274600,261900,259610,253222,195329,187227,194329,206217,224301,230626,220463,218602,307973.3336,332475.373,332153.2471,338572,313928.4529,346813,346480,341414,368667.2111,379693.79,177096.229,225937.142,
Indonesia,IDN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,23500,24000,34200,42500,64800,74100,91600,105500,115300,120400,124800,142600,145300,143400,183000,185800,181500,190600,206100,193200,205400,215700,236900,227200,230500,262200,311200,194700,196700,135000,159027,164651,152278,155609,318488,320724,357414,357789,345240,330112,520932.082,599692.2761,641182.3007,576000,675005.8954,682389,823735,892801,959307.381,808265,425057.604,348232,
IDA only,IDX,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,216500,221500,213900,227500,224300,242800,261600,233100,239900,249000,264900,272400,269100,269100,272500,267000,262200,265400,274800,268100,272700,265700,255800,243600,246900,241900,256800,236100,248900,224800,226175,223542,214168,217640,251709,250009,250482,286183,254859,271231,423255.5729,482532.6866,474712.1503,537330.2152,592719.151,577707,598997,683401,710450.718,664891.3,354727.9354,425094.064,
Isle of Man,IMN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,97500,64700,96600,94300,69000,90600,94700,99000,105300,100100,100000,104600,106500,113500,120400,139900,151000,159500,157600,156300,125800,117500,120300,105300,130100,168400,151300,182500,196100,180500,198426,206690,231413,263870,302790,330484,453921,569033,592292,601977,623196.7786,695626,678125.9378,689094,724541.12,787998,917625,1029426,1200111.363,1209803,583142,739481,
Not classified,INX,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,29000,27500,25200,25700,27500,25800,27100,27400,27700,31100,28400,27700,26600,26300,30800,32500,33500,36600,61400,73000,79500,82400,76700,69000,70300,84000,95000,107200,122700,132700,145457,156277,177032,231296,261345,303697,350204,416205,483741,528098,601262,635065,648817.6515,641412,658512,718059,836293,883323,935913,967456,369019,493773,
Iran -  Islamic Rep.,IRN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,17100,18800,19300,22200,25100,32000,38300,41900,41100,23000,18600,11600,24900,30900,36900,27200,35200,34500,31000,36500,39900,41500,37700,41600,46500,48600,63300,83400,79600,75900,82610,141396,92621,138537,109706,121235,136075,137645,122226,133932,158014.1835,161191.6776,153142.8222,161029,162563.3742,133663,159754,225399.088,207096,186006,132936.795,157785.876
Iraq,IRQ,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,5300,5800,6500,7300,7700,7300,8600,10100,10400,10400,8800,5500,6500,7400,6700,7900,8400,8400,12400,12600,7800,200,500,,300,,,,,,,,,,,,,,,,7692,9697,8993,4332,4332,12805,10579,18509.38,48355,60540,9809,20505,
Iceland,ISL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,10700,11300,12500,13800,13800,14600,13200,14200,14500,14800,15000,15000,16400,15800,16200,18000,16700,18600,18400,17600,18300,17700,16900,17300,18700,19200,21600,21100,21700,14700,12589,11728,9989,9750,10832,11803,12785,14064,12431,12924,21668.31647,24488,26469,26643,28979,35558,41022,50389,54653.30259,35823,13594,24518,
Israel,ISR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,9700,19800,20600,20000,19700,8400,9200,10100,19100,18900,18500,19200,18500,18500,21100,22500,22700,21800,27800,29600,29500,29900,39100,41900,44200,48000,50000,51400,50100,51600,56427,47648,49404,46334,34152,34104,36257,47038,45309,47856,47829,47195,47073.82746,46644,49177,49020,50548,50330,53901,49276,12221,23090,
Italy,ITA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,183500,196300,204800,184900,185100,171700,171100,166900,159700,160700,162500,152800,158900,160700,161100,174700,172400,180100,189700,214200,229400,231500,261400,265300,268900,280000,306800,321400,338200,358900,367584,393484,350552,385911,382317,445968,447749,431647,382590,382897,335280,328771.58,306320.5033,258027,264899,273462,277671,243811,251621,260599,99250,37123,
Jamaica,JAM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,18600,19500,21500,13700,16100,12600,23800,19800,20100,21100,20700,19500,20000,29200,26500,27700,21600,24000,23300,25200,21300,20900,20000,20000,18700,17000,18300,12300,12500,20600,16577,24440,23343,23976,23338,21787,21133,22401,22894,16840,0,0,0,492,953,997,1128,1181,1215.272,,,,
Jordan,JOR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,4200,4400,4100,4500,5600,7000,8700,9300,10400,11900,14000,16500,17100,16200,15500,15200,14800,15000,15500,17400,14100,11000,14300,15500,16000,16800,17100,16700,15400,15900,16447,15893,16369,15354,17958,19689,26546,29415,30804,32490,39318.7916,40329.1978,39468,38998,38386,36622,38161,36946,36127,36550,10108,19200,
Japan,JPN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,277300,395100,298700,311800,320700,312700,321200,345900,369600,388500,396500,416600,417500,414300,416100,417800,433300,441500,465400,468300,476000,495800,473000,474400,489300,535900,564000,573300,636500,661800,645087,640328,647953,639866,638430,651858,670252,656917,655495,641913,934487.4395,812928,874677,915542.658,927666,956015,984320,1035522,999594,1018436,659764,657016,
Kazakhstan,KAZ,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,5900,20900,10300,10300,10400,9100,8041,8398,15426,19560,11754,17302,19160,19138,19229,18832,33483,40916,44580,66108,71220,72486,73188,83048,66693,89436,55358,72454,
Kenya,KEN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,10500,10100,8900,9900,8000,12200,14500,6400,8600,8500,9300,9100,7400,8900,10100,11100,11800,12000,11700,12100,13000,11700,13200,13900,13200,13500,14400,19600,19800,25100,29080,24741,25873,27057,26218,28399,29039,32329,32045,33593,78265,84955,82576,98244,90625,96749,99428,117027,134354.4846,138192,33178,50778,
Kyrgyz Republic,KGZ,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400,10400,11600,13300,10400,15300,8300,6051,4942,3951,4810,5550,5228,4730,4916,3567,5459,7371,9274,7719,12189,17388,20962,23120,27055,8751,6466,1578,1497.601,
Cambodia,KHM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,1300,4400,3900,4100,3800,3400,3400,3400,,,,,,,,,,,,,,,,,,,,,,,,,4648,4512,3893,3207,3998,4324,3667,3304,5104.722222,7191,7432,11897.04324,14732,12983,11933,14372,14387,14850,5639.574,390.662,
Kiribati,KIR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,6600,6600,6700,7100,4200,3400,3000,3000,3000,2900,2900,2900,2900,2900,3000,3100,3100,3200,,,,,,,,,,,,,,,,,,,5005,5005,4388,3751.74,3312.786,
St. Kitts and Nevis,KNA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea  Rep.,KOR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,16000,38100,39100,39700,33100,29400,27500,30300,34000,39800,37100,34900,38900,41700,47900,49100,53100,59100,69200,143600,120100,120100,141000,163500,170300,188900,207300,229300,207900,204000,226910,228442,238649,240942,232077,221424,223735,243113,250260,256160,280427,282239,285000,360356,368132,448037,473606,499093.92,527807,549454,254341,287163
Kuwait,KWT,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,6700,6800,6800,7000,7600,8400,9700,11600,12500,12500,12900,13400,13300,14600,14700,14200,14300,14300,15000,15600,10000,7200,14300,16200,17200,17900,19400,17200,18700,17300,17486,16682,18929,17833,19512,19142,20673,17685,17999,18191,41848,31753,28814,27305,26610,30073,33387,42782,46450,50959,17004,20436,
Latin America & Caribbean (excluding high income),LAC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,582000,554600,570700,584200,618100,638500,659400,637200,654800,692400,775000,744300,821400,912500,948100,936400,947600,980300,944600,954400,1000300,1011500,1020900,1084100,1140500,1152800,1221500,1428300,1496500,1611100,1456881,1447155,1368294,1227248,1266467,1313815,1345358,1464994,1421962,1471241,1942180.937,2043337.146,2162465.908,2253790.415,2357197.272,2447053,2383083,2361676,2424172.326,2451666,1132466.27,1586620.853,
Lao PDR,LAO,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,3100,2300,2400,2500,2400,2400,2400,1800,400,400,400,400,400,400,500,500,1500,2000,2000,2100,3400,3400,3700,3700,3700,3900,3900,3900,3900,6300,6411,6652,6971,7068,8413,9002,9959,9957,10007,9793,11374,12262,15836.12863,16944,12732,9772,9986,9731,16299,16359,6537,2758,
Lebanon,LBN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,20200,20800,21400,22700,23800,22400,23500,21400,22800,23000,22500,19400,15200,19000,13000,11100,8200,8500,11300,6800,10300,9300,10000,9400,9900,10900,9700,10300,10100,10100,10435,10317,10808,10819,11807,12013,11274,12172,12306,13532,19882,21306,21880,23568,23580,24066,24549,25550,25740,26942,9812,13934,
Liberia,LBR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,1400,1400,1400,1500,1500,1700,1800,7100,7600,8000,6000,2800,2800,2800,2900,2900,2300,2200,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,6200,6600,7400,8400,8800,9500,9800,11100,11100,11600,12200,13400,14900,16500,16700,16600,15400,14400,16400,17000,18200,19000,14400,9100,7100,5800,6100,6000,6000,6100,6194,5884,5884,6414,8042,13335,12657,13477,9930,9812,34878.07717,27770.50206,16514.43158,32064,26414,13298,10764,9686,12340,11339,6032.238,9046.238,
St. Lucia,LCA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,712300,681000,695500,706800,743800,781500,804400,786700,801600,907000,983000,943200,1056500,1149700,1188600,1171500,1192600,1214500,1198200,1220900,1231900,1250000,1287400,1380200,1442900,1462700,1532800,1727100,1806500,1985500,1838871,1916893,1756505,1562182,1584616,1656212,1695244,1833458,1800913,1838212,2303571.688,2431147.824,2549816.184,2732986.415,2840587.997,2898758,2826420,2748629,2805821.292,2826537.583,1285637.062,1797138.537,
Least developed countries: UN classification,LDC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,168900,173200,167600,178100,170500,189900,211000,187300,193800,210100,225400,235300,232000,241100,233200,233000,228600,222000,224400,209900,209000,199000,193200,184400,194000,185900,196500,185700,183300,160300,168933,163158,155307,158259,178827,185593,186604,215810,184000,200779,334228.2344,383386.9813,379884.9299,435901.8152,446268.151,417135,432752,524431,586506.9645,538357.3,301278.9354,349696.37,
Low income,LIC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,129300,133500,119700,114300,103500,118000,131500,121600,122700,120700,131200,130300,129700,130000,133900,124700,115800,115200,112200,111600,112700,107100,107600,107400,111800,103500,104200,107600,97700,103500,104672,96597,,,,,,,,,162221.8315,196069.6714,196846.5071,228679,202635.3103,195248,194617,220549,208410,215874.3,122106.9134,174772.065,
Liechtenstein,LIE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,4400,5200,4400,2900,4200,4400,4000,5300,3100,1700,3800,4100,3500,5400,5900,6700,5800,5800,6100,6900,7900,8200,9100,8900,8900,8900,8800,8800,9300,10100,5206,11386,10480,12603,18699,19712,20979,21020,20512,16632,20921,26052,31373,32636.4,37517,37598,40711,41012,34425,33050,10045,11210,
Lower middle income,LMC,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,543800,468200,495600,544500,521400,598200,647500,658800,690100,703300,716300,738600,735300,783100,857100,890200,900000,927000,964900,946100,922800,927400,1005800,931000,1005400,1080000,1152800,1126800,1140000,1024300,1075529,1153890,1075662,1164776,1391757,1451873,1649651,1795387,1803331,1874227,2555685.521,2804160.166,2860063.226,2863456.622,3129936.117,3260601,3676481,3931281.088,4270479.92,4144717.122,2023087.622,2164578.581,
Low & middle income,LMY,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,1478400,1597800,1702900,1681000,1733100,1833700,1931000,1958100,2051000,2200500,2343400,2366600,2406900,2511400,2562000,2564300,2655800,2640600,2789100,3742700,3857600,3914900,4038800,4175000,4158600,4226700,4185779,4563504,4485909,4452689,5095646,5390916,5882404,6487126,6588526,6994294,8845435.564,9562678.52,10094839.46,10796648.91,11659936.07,12319764,13043884,13873144.14,14733803.04,15027723.42,8539642.865,9647724.71,
Lesotho,LSO,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,900,900,1000,1000,3300,4900,3100,3100,4600,3000,3100,4700,4800,3900,2200,4600,4600,4600,1900,1100,2400,1800,1400,700,2100,200,,,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,672000,691200,713800,700700,706900,790300,823400,810300,900600,961300,1045600,1063300,1115500,1170500,1268600,1287600,1377800,1424700,1469600,2465000,2479800,2582100,2622800,2735700,2732000,2853000.001,2828120,3197261,3283798,3218826,3665061,3816401,4169909,4686224,4927058,5504592,6378364.18,6944807.875,7381815.761,7908184.583,8471671.027,9025937,9501394,10149322.67,10693202.07,11156939.27,6567899.014,7303348.38,
Lithuania,LTU,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,4800,6500,6600,6600,8100,9700,11100,10197,10418,9613,9839,11224,11930,11059,10823,12238,11633,4972.63491,7122,11874,9900,12622,12199,9719,12151,2375,2506,2619,1469,
